144;ogc;Nashville, TN;0;2;{'Ruby': 39242, 'JavaScript': 4268}
145;lazyatom;London, UK;133;83;{'ActionScript': 122, 'Shell': 1599, 'CSS': 50682, 'HTML': 10573, 'JavaScript': 670381, 'CoffeeScript': 211, 'Objective-C': 247, 'Handlebars': 7302, 'Ruby': 1454701, 'C++': 264495, 'C': 992093, 'Arc': 9002, 'Puppet': 3432}
147;jdhuntington;Redmond, WA;31;50;{'Haskell': 8109, 'Clojure': 1254, 'Shell': 1739, 'CSS': 2626, 'HTML': 8676, 'PHP': 133187, 'JavaScript': 905767, 'Perl': 132236, 'Lua': 1229, 'PowerShell': 3390, 'F#': 5214, 'Erlang': 77546, 'Java': 1737, 'Emacs Lisp': 13270589, 'CoffeeScript': 687, 'Ruby': 267967, 'ASP': 166, 'Python': 19716, 'C#': 180874, 'Scheme': 4505}
150;sevenwire;WI & CA;0;8;{'HTML': 312, 'Ruby': 110469, 'ActionScript': 6763}
151;brandonarbini;Costa Mesa, CA;18;12;{'HTML': 76600, 'Ruby': 93670, 'JavaScript': 394529, 'CSS': 205963}
152;al3x;Portland, Oregon, USA;1030;46;{'VimL': 10694, 'Python': 262337, 'Shell': 71, 'CSS': 4534, 'HTML': 4638, 'Ruby': 20028, 'Scala': 22737, 'CoffeeScript': 13631, 'JavaScript': 64078, 'Emacs Lisp': 31014}
153;toolmantim;Melbourne, Australia;254;48;{'PHP': 63243, 'Shell': 5607, 'CSS': 171005, 'HTML': 27815, 'Ruby': 247936, 'JavaScript': 557621, 'CoffeeScript': 4729}
154;nicksieger;Minneapolis, MN, USA;211;68;{'Ruby': 313618, 'JavaScript': 34782, 'Java': 194497}
155;jicksta;San Francisco, California;76;47;{'Clojure': 17892, 'Shell': 32531, 'CSS': 260, 'Elm': 3360, 'JavaScript': 4545000, 'CoffeeScript': 4195, 'Erlang': 41686, 'HTML': 477, 'Java': 1649506, 'Groovy': 13274, 'VimL': 2609, 'Ruby': 791916}
156;joshsusser;San Francisco, CA;276;16;{'Ruby': 104997, 'JavaScript': 11507, 'Shell': 326}
157;jcrosby;SF Bay Area, CA;138;27;{'Ruby': 210834, 'JavaScript': 88042, 'Python': 53104, 'Objective-C': 10741}
158;thewoolleyman;Tucson, AZ;66;117;{'Elm': 1140, 'Python': 1679, 'Go': 709, 'Shell': 52392, 'CSS': 11822, 'HTML': 36334, 'Ruby': 2594878, 'JavaScript': 60608, 'Haskell': 1846, 'Cucumber': 657}
159;technicalpickles;Savannah, GA;567;197;{'Clojure': 39829, 'Shell': 58431, 'CSS': 114611, 'ApacheConf': 1250, 'HTML': 14158, 'JavaScript': 205070, 'CoffeeScript': 698943, 'VimL': 1630478, 'Cucumber': 35456, 'Java': 82327, 'Puppet': 834, 'Makefile': 758, 'Ruby': 835515, 'XSLT': 1729, 'Perl': 475, 'C': 16906}
161;ryanb;Southern Oregon;6666;52;{'Shell': 9562, 'CSS': 606, 'HTML': 3921, 'JavaScript': 1222007, 'CoffeeScript': 79141, 'Smalltalk': 970, 'Objective-C': 6271, 'VimL': 605201, 'Ruby': 8522980, 'Python': 4319, 'Perl': 6032, 'C': 30438}
162;cnix;Virginia Beach, VA;21;21;{'VimL': 601464, 'Ruby': 103461, 'JavaScript': 71934, 'Python': 2322, 'C': 23890}
163;tpitale;Washington, DC;68;60;{'Objective-C': 41639, 'Shell': 230, 'CSS': 49970, 'HTML': 139785, 'Ruby': 350917, 'JavaScript': 13074, 'Elixir': 4215}
